Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Burundi,,,,,,,,,,8.57,6.49,7.46,
Kenya,,37.1,34.51,28.26,27.93,28.79,30.49,29.72,33.31,33.17,26.22,22.38,20.69
Madagascar,,,,,,,,0.28,0.22,0.27,0.27,0.83,0.92
Mauritius,914.83,1150.73,1172.25,1096.67,1277.46,1228.5,1008.89,863.98,729.88,,,,
Mozambique,,30.13,26.29,21.82,23.63,21.81,20.05,,,,,,
Uganda,89.68,132.12,196.34,240.05,157.39,106.27,86.04,70.68,63.26,58.33,49.62,45.15,
United Republic of Tanzania,,,,,,,,,,1.1,1.76,2.01,0.33
Zimbabwe,1382.85,1271.4,851.09,895.18,750.79,677.68,,,,,,,
Cameroon,68.76,69.56,66.27,73.41,51.69,,64.09,79.74,84.09,72.73,112.68,110.96,69.78
Sao Tome and Principe,,,,1.28,,,2.99,9.36,11.45,,,,
Algeria,,,,163.22,142.2,149.67,149.47,141.7,144.9,106.27,143.03,119.93,124.97
Egypt,41.68,43.81,46.68,62.2,64.61,70.17,50.73,94.05,103.99,,,,
Morocco,234.09,216.99,204.35,239.72,255.31,255.01,247.19,,,292.02,322.32,,
Sudan,,,,,,220.6,,,,,,,
Botswana,,,,,,,1063.32,1451.1,1210.27,,,1335.89,
Lesotho,,,,,243.35,251.85,225.93,,,,,,
Swaziland,1979.41,1904.59,,,,,,,,,,,
Cabo Verde,,,,,,,,764.92,792.47,752.09,748.34,777.57,799.42
Guinea,,,,,13.28,,,,,,,,
Nigeria,,,,,14.33,15.83,25.76,12.85,,13.45,13.93,,
Senegal,,,,,,,,19.32,,,,,16.54
Sierra Leone,,,,,186.53,190.24,,,,,,,
Bahamas,,,440.4,381.48,391.81,441.78,443.09,545.69,536.94,533.05,,,
Barbados,,464.31,412.39,457.02,709.02,778.54,744.44,739.36,833.21,843.81,656.63,690.95,596.03
Dominican Republic,,,,,,,,,,98.94,,235.28,
Grenada,,,1761.03,1875.87,1783.04,2000.31,897.43,918.06,1241.08,1456.26,1209.61,1267.52,1948.05
Jamaica,,,,,,,,,,115.38,75.36,,
Puerto Rico,,,,,,888.19,822.49,721.71,790.74,826.51,795.54,785.24,664.99
Saint Kitts and Nevis,,,,,,,1069.28,1018.11,926.45,,,,
Saint Vincent and the Grenadines,,1857.91,1777.49,1697.76,1403.96,1583.84,1688.71,1739,2114.49,1923.46,,,
Trinidad and Tobago,,150.09,212.19,235.12,272.67,335.04,301.67,307.88,233.59,267.52,193.07,174.53,137.49
Belize,,,592.35,638.69,,,375.57,259.94,283.12,244.13,271.07,234.86,
Costa Rica,166.68,187.22,196.83,239.65,278.62,308.95,389.77,445.45,445.87,309.1,696.6,,
El Salvador,,,180.25,191.32,135.67,158.02,168.6,160.24,179.53,168.87,152.19,123.34,139.38
Guatemala,,40.16,32.64,28.72,29.94,33.3,41.51,44.21,53.97,59.29,,,
Honduras,,,,,80.62,71.95,66.44,59.68,53.35,64.76,57.69,,36.11
Mexico,,76.8,77.29,77.01,87.98,91.67,113.29,111.34,112.3,75.91,72.94,139.96,114.16
Nicaragua,,,269.77,320.61,,,,182.18,,,,,
Panama,,364.13,421.11,530.63,406.64,474.69,510.42,504.4,500.68,542.34,540.95,549.5,480.44
Bermuda,1493.64,1541.7,,,,,1133.64,950.68,924.85,884.79,774.22,1019.62,1028.97
Canada,2278.79,2164.78,2033.35,1946.9,1811.59,1707.61,1703.73,1594.76,1494.47,1476.76,1381.08,1368.9,1402.65
United States of America,2414.66,2363.33,2290.62,2217.21,2185.12,2163.15,2062.97,2002.28,1969.04,1959.62,1898.07,1818.46,1773.4
Argentina,,,775.74,738.25,662.49,703.79,,,,,,667.9,626.3
Bolivia,,,41.64,41.25,45.46,50.26,54.96,50.92,44.85,50.79,,,
Brazil,,,,1079.69,1048.35,958.43,910.59,696.18,618.69,704.08,873.76,,
Chile,,,964.62,944.2,1019.84,1055.2,1135.49,1098.92,1209.97,1098.98,1071.26,1082.1,1025.57
Colombia,,128.92,158.8,208.72,189.59,165.14,206.41,199.97,217.91,269.75,289.72,286.41,300.53
Ecuador,32.18,34.93,43.36,42.73,,,17.26,33.61,77.18,103.6,121.91,152.8,
Guyana,,,,,,,,518.48,252.55,220.07,380.8,,674.11
Paraguay,,,,,,413.04,455.27,502.14,536.23,569.71,598.84,590.67,572.74
Peru,215.78,211.05,189.91,176.83,159.86,165.18,170.6,190.06,209.62,252.37,272.56,289.28,301.12
Suriname,2997.7,2778.8,,,,,,,,,,,
Uruguay,2904.89,3179.51,,3061.66,3162.78,3152.32,2810.43,2823.28,2881.99,2850.58,2859.91,2973.61,3043.61
Kazakhstan,,,408.63,380.3,326.86,330.93,304.14,367.78,734.65,1060.91,1229.3,1191.61,1185.27
Kyrgyzstan,284.76,238.33,241.13,212.27,213.91,206.81,203.26,180.91,216.21,192.06,173.61,154.51,166.57
Tajikistan,,49.97,52.28,45.41,52.6,44.57,46.73,46.94,47.32,,,,
Turkmenistan,,,35.01,29.8,,,,,,,,,
"China, Hong Kong Special Administrative Region",596.86,548.11,514.62,540.99,534.44,509.81,497.23,491.07,497.23,474.02,441.07,,
"China, Macao Special Administrative Region",,,,,,565.77,559.07,525.98,594.5,532.48,529.17,467.72,450.47
Japan,,837.13,727.14,638.09,584.73,565.99,517.3,485.46,457.96,429.52,391.92,356.2,
Mongolia,355.68,314.87,264.52,260.19,305.73,251.32,238.84,212.96,191.22,223.12,275.74,289.5,309.85
Republic of Korea,398.25,328.21,396.55,401.98,440.5,460.13,525.37,548.81,570.05,584.69,578.46,531.65,
Brunei Darussalam,256.9,295.75,332.15,308.57,,,,,,,,,
Indonesia,,,,,,9.99,10.63,10.12,10.92,10.09,10.19,9.64,10.21
Malaysia,,,133.03,141.37,,,,,,,,,
Myanmar,,,,,,,3.69,3.33,3.46,4.41,4.79,5.55,5.43
Philippines,11.81,12.69,12.96,11.4,9.31,9.16,110.69,78.4,59.63,45.41,127.26,113.84,
Singapore,354.58,382.24,470.87,413.32,381.76,378.58,382.63,359.8,332.35,329.5,298.32,288.16,265.98
Thailand,,,92.43,96.18,93.44,86.45,75.75,81.46,67.31,67.27,64.72,58.91,57.93
Bangladesh,,,8.77,8.97,,,,,,,,,
Bhutan,,,,,,,49.16,67.89,67.46,66.42,76.46,69.54,
India,,24.24,23.87,23.61,24.16,26.46,26.7,26.83,27.32,26.7,29.12,,
Iran,152.86,158.45,,,,,,,,,,,
Maldives,,,,,,1222.95,1226.76,1203.04,1398.04,1905.65,1903.39,,
Nepal,,,2.01,2.09,,,,,,,,,
Sri Lanka,121.76,135.78,,,,66.22,58.49,62.77,58.26,57.31,55.79,,
Armenia,93.23,92.23,81.69,102.93,90.76,108.1,133.54,123.64,141.75,134.94,155.71,153.68,177.78
Azerbaijan,21.74,20.98,25.12,24.69,21.72,37.74,40.53,42.51,54.39,45.25,54.16,60.86,
Bahrain,,,1114.05,888.6,706.82,680.96,,,,,,,
Cyprus,150.68,111.34,116.31,153.3,156.81,130.45,117.84,151.31,151.08,137.25,109.05,83.73,78.78
Georgia,,235.03,363.24,624.43,423.77,341.08,266.9,267.54,,,,236.89,
Iraq,,,,,,24.98,25.44,31.07,36.53,38.68,36.67,34.8,
Israel,,2091.93,1897.28,1702.19,1462.11,1268.5,,974.9,936.21,,,,
Jordan,,,132.53,161.75,176.94,171.21,170.13,187.18,207,193.14,,,
Kuwait,,333.74,432.5,391.76,385.73,347.43,282.14,,,,,,
Lebanon,,,,,,612.33,659.49,662.07,713.79,699.11,615.66,506.25,427.81
Oman,,,,,232.4,207.93,,,,,,,
Qatar,112.85,100.26,107.18,105.52,,,,,,,,,
State of Palestine,104.46,132.87,122.31,,,71.86,71.89,67.42,54.94,45.28,,,
Syrian Arab Republic,71.36,65.32,,,24.53,32.39,,,,,,,
Turkey,100.52,100.65,152.89,250.01,215.44,166.34,202.6,248.35,248.11,279.11,,,
United Arab Emirates,297.92,277.59,,,,,,,,167.37,26.38,71.99,67.83
Belarus,764.76,839.93,1070.43,1085.66,1078.71,917.31,866.25,775.27,775.72,594.02,488.1,426.59,
Bulgaria,604.07,607.15,561.25,579.71,556.26,504.85,533.62,681.48,643.39,608.76,624,572.76,535.89
Czechia,1383.91,1587.72,1506.46,1471.41,1492.74,1416.54,1322.84,1202.2,1179.74,1131.96,1190.79,983.7,1319.26
Hungary,1230.41,1279.66,1250.53,1217.22,1237.28,1185.42,1168.24,1340,1298.94,1308.44,1252.21,1081.33,
Poland,733.01,748.77,724.98,650.18,570.96,510.68,495.24,528.63,596.58,597.65,518.04,433.43,357.83
Republic of Moldova,359.21,297.09,276.74,227.26,235.54,234.53,223.06,334.09,369.32,350.79,377.49,410.8,
Romania,269.18,222.75,201.76,196.28,211.49,190.53,226.38,240.55,235.3,284.44,290.78,836.55,555.77
Russian Federation,,888.76,1095.23,1169.95,1094.4,926.71,830.44,774.23,725.2,692.48,643.5,633.69,709.94
Slovakia,538.41,702.38,350.85,607.14,600.61,548.63,514.07,452.46,415.88,384.77,382.12,342.4,443.97
Ukraine,557.77,495.97,398.88,284.2,247.93,241.06,383.75,558.09,,,,,
Denmark,3458.27,3379.44,3103.17,3050.22,3233.88,3458.26,3388.62,4354.26,4377.22,4255.81,4072.51,3796.05,3430.45
Estonia,2492.19,2283.75,2246.28,1972.4,1613.19,1677.01,1788.98,1895.74,1519.12,1406.91,1247.3,1195.71,865.03
Finland,2711.5,2515.18,2384.14,2261.72,2241.66,2262.14,2329.77,1852.45,1862.57,1764.85,1864.37,1864.46,1770.96
Iceland,2207.55,1166.56,1071.96,1148.94,1012.72,1397.27,1626.92,1546.97,1309.22,1282.29,1260.63,1121.23,1223.95
Ireland,1432.08,1403.77,1400.65,1416.86,1404.98,1396.25,1401.79,1416.75,1431.01,1455.78,1527.83,1495.86,1481.55
Latvia,1023.07,1389.41,1090.3,1062.43,904.45,1102.45,1278.37,1227.4,,1047.62,1025.07,1034.41,983.86
Lithuania,857.27,862.87,826.08,754.92,707.87,840.33,895.59,849.55,889.05,778.32,771.17,738.69,699.03
Norway,2809.99,3231.23,2996.72,2860.55,2760.81,2644.42,2762.11,2590.03,2542.16,2660.07,2491.77,2193.66,
Sweden,4350.79,4283.42,4925.99,4571.54,4465.86,4245.77,4143.84,3921.91,4021.81,3976.48,3979.93,3971.8,3815.46
England,4257.76,3433.54,3368.77,3248.2,2955.83,2904.28,2669.11,2654.94,2637.8,2406.54,2329.57,2208.58,
Northern Ireland,1808.35,1620.91,1496.24,1439.09,1297.96,1370.32,1431.52,1306.44,1349.27,1306.4,1375.51,1347.79,
Scotland,3001.34,2950.36,2722.63,2385.95,2232.61,2249.38,2037.25,2050.36,2055.81,1779.42,1799.91,1675.48,
Albania,,,96.88,95.68,98.98,107.75,104.88,137.08,160.12,185.51,182.26,275.5,248.11
Andorra,,,,,1251.21,1141.14,1174.63,1323.16,1291.21,1269.61,1318.81,1285.96,1484.26
Bosnia and Herzegovina,,,480.44,477.76,184.12,168.11,130.34,296.25,175.79,174.35,169.4,155.36,127.91
Croatia,682.78,699.99,694.33,678.24,658.72,307.84,283.28,314.5,370.26,402.33,328.95,282.97,319.48
Greece,618.84,509.99,556.95,627.3,727.57,818.42,888.86,1060.33,1157.96,1071.84,935.3,851.55,915.58
Holy See,,,,,,,,,,,,,
Italy,2290.18,2513.49,1870.8,1938.17,1977.3,1674.24,1578.88,1584.25,1740.79,1785.59,1840.11,1876.2,1748.18
Kosovo,,,,,,831.19,737.3,834.28,933.1,881.6,912.43,834.15,
Malta,2800.93,2904.36,2420.59,2164.83,2228.36,1999.79,1671.16,1885.39,2057.6,2090.97,2032.17,1962.54,2066.78
Montenegro,256.71,206.23,249.84,194.51,172.17,124.57,97.44,85.22,108.03,137.37,118.31,142.65,132.15
Portugal,990.76,977.56,876.12,835.97,838.56,961.31,931.61,898.11,931.9,972.62,907.31,875.2,834.96
Serbia,,,182.49,181.2,185.61,173.23,159.99,175.65,194.25,199.27,354.46,300.65,255.37
Slovenia,1291.2,1455.05,1477.02,1631.41,1455.1,1387.92,1369.69,1408.59,1489.88,1643.58,1692.25,1457.02,1102.67
Spain,,,,,304.94,317.19,301.87,310.33,332.11,354.43,351.87,335.61,446.1
The former Yugoslav Republic of Macedonia,,,,228.05,269.57,294.17,249.5,237.39,245.17,273.67,266.82,240.07,
Austria,,2338.32,2149.7,2178.44,2100.47,1979.95,1930.24,1857.21,1776.14,1785.41,1803.14,1729.66,1630.94
Belgium,2158.03,2077.15,2058.18,2068.57,2027.6,2063.05,2097.96,2089.25,2202.59,2147.39,2009.38,1856.73,1651.32
France,1381.18,1377.21,1363.54,1335.59,1244.26,1205.43,1876.37,1862.34,1839.45,1846.84,1920,1958.27,1906.93
Germany,3043.35,2960.16,2750.23,2620.54,2565.5,2434.58,1516.39,1516.73,1586.66,1575.06,1595.92,1623.98,1657.23
Liechtenstein,492.86,413.67,502.12,668.73,522.14,453.51,538.83,479.66,503.6,535.46,629.05,573.94,514.24
Luxembourg,,,,1403.3,1341.04,1376.48,1342.05,1421.18,1687.56,1735.84,1896.55,1843.24,
Monaco,,,958.35,1006.28,,,,,,,,,
Netherlands,5308.21,4862.37,4641.57,4335.59,4160.05,4131.36,4111.36,3981.01,4012.5,3894.19,3835.56,3481.2,3214.78
Switzerland,2098.79,2256.91,1922.36,1764.5,1597.52,1580.02,1616.43,2059.6,2391.17,2501.01,2270.7,1974.92,1759.63
Australia,3162.04,2745.88,2556.61,2517.37,2345.23,2325.9,2199.32,2153.44,2223.79,2236.23,2120.89,2054.72,2122.49
New Zealand,,,3088.42,3068.6,2896.23,2790.58,2844.71,2676.59,2604.57,2291.97,2280.13,,
Solomon Islands,,174.73,219.26,173.7,176.8,174.41,,,,,,,
